LB,04073,0,T,TREND.TRACE1,050926145141296,050926150133656
TR,TREND.TRACE1,0,100,1,1,,0,0
050926145141296,99.992386
050926145145453,99.969543
050926145149453,99.93148
050926145153453,99.878204
050926145157453,99.809738
050926145201453,99.726097
050926145205453,99.627304
050926145209453,99.513405
050926145213453,99.384415
050926145217656,99.240387
050926145221656,99.08136
050926145225656,98.907379
050926145229656,98.718506
050926145233656,98.514786
050926145237656,98.296288
050926145241656,98.063087
050926145245656,97.815239
050926145249656,97.552826
050926145253656,97.275932
050926145257656,96.984634
050926145301656,96.679024
050926145305656,96.359192
050926145309656,96.025246
050926145313656,95.677277
050926145317656,95.315392
050926145321656,94.939705
050926145325656,94.550323
050926145329656,94.147377
050926145333656,93.730988
050926145337656,93.30127
050926145341656,92.858368
050926145345656,92.402405
050926145349656,91.933525
050926145353656,91.451881
050926145357656,90.957603
050926145401656,90.450851
050926145405656,89.931778
050926145409656,89.400536
050926145413656,88.8573
050926145417656,88.302223
050926145421656,87.735481
050926145425656,87.157242
050926145429656,86.567688
050926145433656,85.966988
050926145437656,85.355339
050926145441656,84.732918
050926145445656,84.099915
050926145449656,83.456528
050926145453656,82.802948
050926145457656,82.139381
050926145501656,81.466019
050926145505656,80.783073
050926145509656,80.090752
050926145513656,79.389259
050926145517656,78.678825
050926145521656,77.959648
050926145525656,77.231949
050926145529656,76.495964
050926145533656,75.751907
050926145537656,75
050926145541656,74.240479
050926145545656,73.473579
050926145549656,72.699524
050926145553656,71.918556
050926145557656,71.130913
050926145601656,70.33683
050926145605656,69.53656
050926145609656,68.730331
050926145613656,67.918396
050926145617656,67.101006
050926145621656,66.278404
050926145625656,65.450851
050926145629656,64.618584
050926145633656,63.781868
050926145637656,62.940952
050926145641656,62.096096
050926145645656,61.247551
050926145649656,60.395584
050926145653656,59.540451
050926145657656,58.682407
050926145701656,57.821724
050926145705656,56.958656
050926145709656,56.093468
050926145713656,55.226421
050926145717656,54.357788
050926145721656,53.487823
050926145725656,52.616798
